,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,KEGG_2019_Human,Acute myeloid leukemia,1/66,0.003299948626608,0.012399870620181,0,0,19934.0,113899.85357353876,CEBPA
1,KEGG_2019_Human,Non-alcoholic fatty liver disease (NAFLD),1/149,0.0074499147221605,0.012399870620181,0,0,19851.0,97261.02051561224,CEBPA
2,KEGG_2019_Human,Transcriptional misregulation in cancer,1/186,0.0092999029651357,0.012399870620181,0,0,19814.0,92684.96451050608,CEBPA
3,KEGG_2019_Human,Pathways in cancer,1/530,0.0264998334376226,0.0264998334376226,0,0,19470.0,70688.10970701616,CEBPA
4,KEGG_2019_Human,Basal transcription factors,1/45,0.0022499601197094,0.0035249384088572,0,0,19955.0,121662.49782449217,CCNH
5,KEGG_2019_Human,Nucleotide excision repair,1/47,0.0023499589392381,0.0035249384088572,0,0,19953.0,120782.64067395544,CCNH
6,KEGG_2019_Human,Cell cycle,1/124,0.0061999236097501,0.0061999236097501,0,0,19876.0,101034.04709010696,CCNH
7,KEGG_2019_Human,Cell cycle,1/124,0.0061999236097501,0.0061999236097501,0,0,19876.0,101034.04709010696,RAD21
8,KEGG_2019_Human,Lysine degradation,1/59,0.0029499522555206,0.0029499522555206,0,0,19941.0,116175.59385530632,SETD2
9,KEGG_2019_Human,Cysteine and methionine metabolism,1/47,0.0023499589392381,0.0046999178784763,0,0,19953.0,120782.64067395544,DNMT3A
10,KEGG_2019_Human,MicroRNAs in cancer,1/299,0.0149498740670514,0.0149498740670514,0,0,19701.0,82804.33538735632,DNMT3A
11,KEGG_2019_Human,Olfactory transduction,1/444,0.0221998465247771,0.0221998465247771,0,0,19556.0,74462.79263140135,OR8H2
12,KEGG_2019_Human,Hepatocellular carcinoma,1/168,0.0083999085011095,0.0115498903940656,0,0,19832.0,94787.72752807094,ARID1A
13,KEGG_2019_Human,Thermogenesis,1/231,0.0115498903940656,0.0115498903940656,0,0,19769.0,88191.07730937863,ARID1A
14,KEGG_2019_Human,Lysosome,1/123,0.0061499239842961,0.0105998955026255,0,0,19877.0,101200.07933676826,AP1M1
